box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.04,0.083,0.145,0.167,0.181,0.103,-10.0,-10.0,0.0,0.0,0.05,0.319,-10.838,31.936,-100.0,-50.0
2.107,0.049,0.145,0.167,0.167,0.195,0.022,0.051,0.181,0.103,0.004,0.347,-29.306,1.156,-100.0,-50.0
0.051,0.087,0.153,0.175,0.117,0.12,-10.0,-10.0,0.0,0.0,0.029,0.344,29.484,82.475,-100.0,0
0.049,0.087,0.153,0.175,0.181,0.111,0.053,0.076,0.117,0.12,0.032,0.455,-5.752,40.412,-100.0,-50.0
0.05,0.086,0.128,0.174,0.126,0.123,-10.0,-10.0,0.0,0.0,0.05,0.346,57.982,96.637,0,0
0.049,0.086,0.128,0.174,0.13,0.125,0.052,0.235,0.126,0.123,0.05,0.471,49.768,82.947,0,0
0.048,0.066,0.137,0.134,0.163,0.173,-10.0,-10.0,0.0,0.0,0.05,0.356,53.155,88.592,0,0
0.045,0.066,0.137,0.134,0.133,0.172,0.051,0.22,0.163,0.173,0.012,0.528,39.673,66.123,0,0
0.05,0.087,0.172,0.175,0.14,0.16,-10.0,-10.0,0.0,0.0,0.049,0.384,53.516,89.194,0,0
0.05,0.087,0.172,0.175,0.181,0.135,0.051,0.254,0.14,0.16,0.049,0.519,47.645,79.409,0,0
0.05,0.085,0.133,0.172,0.131,0.191,-10.0,-10.0,0.0,0.0,0.049,0.412,57.972,96.621,0,0
0.049,0.085,0.133,0.172,0.117,0.17,0.052,0.267,0.131,0.191,0.038,0.582,48.662,81.104,0,0
0.05,0.064,0.175,0.13,0.171,0.13,-10.0,-10.0,0.0,0.0,0.047,0.309,57.103,95.173,0,0
0.05,0.064,0.175,0.13,0.14,0.121,0.048,0.194,0.171,0.13,0.03,0.43,31.764,86.274,-100.0,0
